n_agents,true_p,layout,mistrust,result,rounds
20,0.6,connected,1.0,true_consensus,9
20,0.6,connected,1.25,true_consensus,7
20,0.6,connected,1.5,polarization,5
20,0.6,connected,2.0,polarization,5
20,0.6,connected,2.5,polarization,3
20,0.7,connected,1.0,true_consensus,3
20,0.7,connected,1.25,polarization,6
20,0.7,connected,1.5,polarization,2
20,0.7,connected,2.0,polarization,3
20,0.7,connected,2.5,polarization,2
6,0.55,connected,1.0,true_consensus,20
6,0.55,connected,1.25,polarization,20
6,0.55,connected,1.5,polarization,19
6,0.55,connected,2.0,polarization,12
6,0.55,connected,2.5,polarization,8
6,0.6,connected,1.0,true_consensus,4
6,0.6,connected,1.25,true_consensus,4
6,0.6,connected,1.5,polarization,6
6,0.6,connected,2.0,polarization,4
6,0.6,connected,2.5,polarization,4
6,0.7,connected,1.0,true_consensus,4
6,0.7,connected,1.25,true_consensus,3
6,0.7,connected,1.5,polarization,5
6,0.7,connected,2.0,polarization,1
6,0.7,connected,2.5,polarization,2
10,0.55,connected,1.0,true_consensus,6
10,0.55,connected,1.25,true_consensus,7
10,0.55,connected,1.5,true_consensus,5
10,0.55,connected,2.0,polarization,5
10,0.55,connected,2.5,false_consensus,2
10,0.6,connected,1.0,true_consensus,5
10,0.6,connected,1.25,polarization,4
10,0.6,connected,1.5,polarization,4
10,0.6,connected,2.0,polarization,4
10,0.6,connected,2.5,true_consensus,4
10,0.7,connected,1.0,true_consensus,5
10,0.7,connected,1.25,polarization,4
10,0.7,connected,1.5,polarization,2
10,0.7,connected,2.0,polarization,4
10,0.7,connected,2.5,polarization,2
20,0.55,connected,1.0,true_consensus,4
20,0.55,connected,1.25,polarization,11
20,0.55,connected,1.5,polarization,3
20,0.55,connected,2.0,polarization,4
20,0.55,connected,2.5,polarization,7
20,0.6,connected,1.0,true_consensus,3
20,0.6,connected,1.25,polarization,6
20,0.6,connected,1.5,polarization,6
20,0.6,connected,2.0,polarization,4
20,0.6,connected,2.5,polarization,5
20,0.7,connected,1.0,true_consensus,2
20,0.7,connected,1.25,polarization,3
20,0.7,connected,1.5,polarization,3
20,0.7,connected,2.0,polarization,3
20,0.7,connected,2.5,polarization,2
6,0.55,connected,1.0,true_consensus,5
6,0.55,connected,1.25,polarization,8
6,0.55,connected,1.5,polarization,17
6,0.55,connected,2.0,polarization,9
6,0.55,connected,2.5,polarization,5
6,0.6,connected,1.0,true_consensus,4
6,0.6,connected,1.25,true_consensus,3
6,0.6,connected,1.5,true_consensus,9
6,0.6,connected,2.0,polarization,2
6,0.6,connected,2.5,polarization,1
6,0.7,connected,1.0,true_consensus,5
6,0.7,connected,1.25,polarization,3
6,0.7,connected,1.5,true_consensus,3
6,0.7,connected,2.0,polarization,1
6,0.7,connected,2.5,polarization,2
10,0.55,connected,1.0,true_consensus,8
10,0.55,connected,1.25,true_consensus,8
10,0.55,connected,1.5,polarization,8
10,0.55,connected,2.0,polarization,4
10,0.55,connected,2.5,polarization,16
10,0.6,connected,1.0,true_consensus,4
10,0.6,connected,1.25,polarization,2
10,0.6,connected,1.5,polarization,4
10,0.6,connected,2.0,polarization,5
10,0.6,connected,2.5,polarization,3
10,0.7,connected,1.0,true_consensus,5
10,0.7,connected,1.25,polarization,5
10,0.7,connected,1.5,true_consensus,5
10,0.7,connected,2.0,polarization,2
10,0.7,connected,2.5,polarization,1
20,0.55,connected,1.0,true_consensus,5
